ISO	Country	Subject Descriptor	Subject Notes	Units	Scale	Country/Series-specific Notes	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	Estimates Start After
DMA	Dominica	"Gross domestic product per capita, current prices"	GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.	National currency	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"12,639.18"	"12,893.43"	"12,636.71"	"13,029.58"	"13,946.09"	"13,844.08"	"14,842.58"	"16,037.76"	"17,451.29"	"18,640.79"	"18,848.58"	"19,123.40"	"18,886.14"	"19,314.36"	"19,949.17"	"20,509.80"	"21,840.98"	"20,974.56"	"21,921.18"	"23,016.68"	"20,023.86"	"20,997.94"	"23,109.76"	2011
DMA	Dominica	"Gross domestic product per capita, current prices"	GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"4,681.18"	"4,775.34"	"4,680.26"	"4,825.77"	"5,165.22"	"5,127.44"	"5,497.25"	"5,939.91"	"6,463.44"	"6,904.00"	"6,980.96"	"7,082.74"	"6,994.87"	"7,153.47"	"7,388.58"	"7,596.22"	"8,089.25"	"7,768.35"	"8,118.96"	"8,524.70"	"7,416.24"	"7,777.02"	"8,559.17"	2011
DMA	Dominica	"Inflation, average consumer prices"	"Expressed in averages for the year, not end-of-period data. A consumer price index (CPI) measures changes in the prices of goods and services that households consume. Such changes affect the real purchasing power of consumers' incomes and their welfare. As the prices of different goods and services do not all change at the same rate, a price index can only reflect their average movement. A price index is typically assigned a value of unity, or 100, in some reference period and the values of the index for other periods of time are intended to indicate the average proportionate, or percentage, change in prices from this price reference period. Price indices can also be used to measure differences in price levels between different cities, regions or countries at the same point in time. [CPI Manual 2004, Introduction] For euro countries, consumer prices are calculated based on harmonized prices. For more information see http://epp.eurostat.ec.europa.eu/cache/ITY_OFFPUB/KS-BE-04-001/EN/KS-BE-04-001-EN.PDF.]"	Index		"Source: National Statistics Office Latest actual data: 2020 Harmonized prices: No Frequency of source data: Monthly Base year: 2010. The base month is June 2010 (June 2010 = 100). The annual period average data is calculated by taking the average of the twelve months in the same year, and thus the annual data for 2010 may not exactly equal to 100. Primary domestic currency: Eastern Caribbean dollar Data last updated: 09/2021"	80.279	81.527	81.666	82.853	84.837	86.263	88.5	91.366	97.176	97.182	99.913	100.975	102.345	102.298	103.123	102.245	102.39	102.693	103.709	105.27	104.504	106.021	108.141	2020
DMA	Dominica	"Inflation, average consumer prices"	Annual percentages of average consumer prices are year-on-year changes.	Percent change		"See notes for:  Inflation, average consumer prices (Index)."	0.848	1.556	0.17	1.453	2.394	1.682	2.593	3.238	6.36	0.006	2.81	1.063	1.357	-0.046	0.807	-0.852	0.142	0.296	0.989	1.505	-0.727	1.451	2	2020
DMA	Dominica	Unemployment rate	"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]"	Percent of total labor force																										
DOM	Dominican Republic	"Gross domestic product per capita, current prices"	GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.	National currency	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"46,834.04"	"50,196.08"	"55,338.13"	"71,881.65"	"105,669.67"	"120,810.39"	"139,051.48"	"158,971.80"	"179,064.00"	"185,076.01"	"209,229.12"	"230,707.92"	"246,464.76"	"267,741.99"	"296,015.51"	"321,200.11"	"346,131.71"	"373,939.57"	"412,603.28"	"440,463.72"	"426,535.66"	"486,938.25"	"531,999.74"	2019
DOM	Dominican Republic	"Gross domestic product per capita, current prices"	GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"2,894.30"	"3,007.38"	"3,158.39"	"2,460.55"	"2,540.85"	"4,008.36"	"4,188.72"	"4,803.47"	"5,194.80"	"5,151.17"	"5,688.75"	"6,063.35"	"6,274.87"	"6,413.93"	"6,805.66"	"7,139.51"	"7,521.27"	"7,874.94"	"8,340.96"	"8,595.61"	"7,553.51"	"8,491.62"	"9,158.02"	2019
DOM	Dominican Republic	"Inflation, average consumer prices"	"Expressed in averages for the year, not end-of-period data. A consumer price index (CPI) measures changes in the prices of goods and services that households consume. Such changes affect the real purchasing power of consumers' incomes and their welfare. As the prices of different goods and services do not all change at the same rate, a price index can only reflect their average movement. A price index is typically assigned a value of unity, or 100, in some reference period and the values of the index for other periods of time are intended to indicate the average proportionate, or percentage, change in prices from this price reference period. Price indices can also be used to measure differences in price levels between different cities, regions or countries at the same point in time. [CPI Manual 2004, Introduction] For euro countries, consumer prices are calculated based on harmonized prices. For more information see http://epp.eurostat.ec.europa.eu/cache/ITY_OFFPUB/KS-BE-04-001/EN/KS-BE-04-001-EN.PDF.]"	Index		Source: Central Bank Latest actual data: 2020 Harmonized prices: No Frequency of source data: Monthly Base year: 2020. Year base October 2019 - September 2020=100 Primary domestic currency: Dominican peso Data last updated: 09/2021	22.817	24.844	26.142	33.317	50.463	52.577	56.559	60.034	66.424	67.382	71.647	77.708	80.579	84.472	87.005	87.733	89.149	92.073	95.355	97.081	100.752	108.616	113.551	2020
DOM	Dominican Republic	"Inflation, average consumer prices"	Annual percentages of average consumer prices are year-on-year changes.	Percent change		"See notes for:  Inflation, average consumer prices (Index)."	7.723	8.884	5.223	27.45	51.461	4.19	7.573	6.144	10.644	1.442	6.33	8.459	3.694	4.831	2.999	0.837	1.614	3.28	3.564	1.811	3.781	7.806	4.543	2020
DOM	Dominican Republic	Unemployment rate	"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]"	Percent of total labor force		Source: Central Bank Latest actual data: 2020 Employment type: National definition Primary domestic currency: Dominican peso Data last updated: 09/2021	8.05	9.083	8.479	8.674	7.879	8.237	7.075	6.452	5.959	6.835	6.52	7.613	8.407	9.196	8.538	7.328	7.08	5.509	5.656	6.167	5.829	7.429	6.613	2020
ECU	Ecuador	"Gross domestic product per capita, current prices"	GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.	National currency	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"1,461.84"	"1,909.42"	"2,180.39"	"2,434.98"	"2,700.12"	"3,025.01"	"3,351.48"	"3,588.31"	"4,267.47"	"4,241.94"	"4,633.25"	"5,192.88"	"5,664.89"	"6,030.50"	"6,347.00"	"6,099.35"	"6,046.30"	"6,216.61"	"6,318.48"	"6,260.60"	"5,642.74"	"5,884.15"	"6,107.60"	2020
ECU	Ecuador	"Gross domestic product per capita, current prices"	GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"1,461.84"	"1,909.42"	"2,180.39"	"2,434.98"	"2,700.12"	"3,025.01"	"3,351.48"	"3,588.31"	"4,267.47"	"4,241.94"	"4,633.25"	"5,192.88"	"5,664.89"	"6,030.50"	"6,347.00"	"6,099.35"	"6,046.30"	"6,216.61"	"6,318.48"	"6,260.60"	"5,642.74"	"5,884.15"	"6,107.60"	2020
ECU	Ecuador	"Inflation, average consumer prices"	"Expressed in averages for the year, not end-of-period data. A consumer price index (CPI) measures changes in the prices of goods and services that households consume. Such changes affect the real purchasing power of consumers' incomes and their welfare. As the prices of different goods and services do not all change at the same rate, a price index can only reflect their average movement. A price index is typically assigned a value of unity, or 100, in some reference period and the values of the index for other periods of time are intended to indicate the average proportionate, or percentage, change in prices from this price reference period. Price indices can also be used to measure differences in price levels between different cities, regions or countries at the same point in time. [CPI Manual 2004, Introduction] For euro countries, consumer prices are calculated based on harmonized prices. For more information see http://epp.eurostat.ec.europa.eu/cache/ITY_OFFPUB/KS-BE-04-001/EN/KS-BE-04-001-EN.PDF.]"	Index		"Source: National Statistics Office. Source: INEC and Central Bank Latest actual data: 2020 Notes: The price Ecuador receives for its oil exports is subject to effects of marketing and discounts for the quality of the Ecuadorian mix. These effects are variable over time. Therefore, while the price of Ecuadorian oil moves in tandem with world prices, deviations are to be expected in projection. Harmonized prices: No Frequency of source data: Monthly Base year: 2014. The authorities introduced the series with base in 2014 in 2015, and presents data for this year onwards. Prior years are obtained by splicing the series backwards with the old CPI series. As a result the base year is different from100. Primary domestic currency: US dollar Data last updated: 09/2021"	38.833	53.463	60.138	64.907	66.686	68.133	70.38	71.982	78.029	82.055	84.972	88.774	93.303	95.842	99.282	103.22	105.004	105.442	105.206	105.486	105.129	105.121	107.368	2020
ECU	Ecuador	"Inflation, average consumer prices"	Annual percentages of average consumer prices are year-on-year changes.	Percent change		"See notes for:  Inflation, average consumer prices (Index)."	96.1	37.674	12.485	7.929	2.741	2.17	3.299	2.276	8.4	5.16	3.554	4.475	5.102	2.722	3.589	3.966	1.728	0.417	-0.224	0.266	-0.339	-0.007	2.138	2020
ECU	Ecuador	Unemployment rate	"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]"	Percent of total labor force		Source: National Statistics Office. Source: INEC and Central Bank Latest actual data: 2020 Employment type: National definition Primary domestic currency: US dollar Data last updated: 09/2021	7.625	9.554	7.828	10.163	7.219	7.095	6.687	6.923	5.95	6.47	5.02	4.21	4.12	4.15	3.8	4.77	5.21	4.62	3.69	3.84	5.336	4.588	4.202	2020
EGY	Egypt	"Gross domestic product per capita, current prices"	GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.	National currency	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"5,587.61"	"5,775.87"	"5,982.04"	"6,455.75"	"7,363.37"	"8,008.77"	"8,995.80"	"10,640.48"	"12,521.23"	"14,250.30"	"16,120.85"	"17,909.05"	"20,299.39"	"21,990.54"	"24,539.17"	"27,459.55"	"29,773.63"	"36,449.58"	"45,699.28"	"53,812.94"	"57,916.49"	"60,806.79"	"66,860.67"	2020
EGY	Egypt	"Gross domestic product per capita, current prices"	GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"1,636.75"	"1,566.20"	"1,355.28"	"1,252.40"	"1,195.60"	"1,331.36"	"1,563.74"	"1,862.16"	"2,271.23"	"2,578.88"	"2,922.80"	"3,077.34"	"3,379.01"	"3,404.34"	"3,520.36"	"3,731.18"	"3,653.67"	"2,484.54"	"2,577.27"	"3,056.98"	"3,600.84"	"3,851.75"	"4,176.60"	2020
EGY	Egypt	"Inflation, average consumer prices"	"Expressed in averages for the year, not end-of-period data. A consumer price index (CPI) measures changes in the prices of goods and services that households consume. Such changes affect the real purchasing power of consumers' incomes and their welfare. As the prices of different goods and services do not all change at the same rate, a price index can only reflect their average movement. A price index is typically assigned a value of unity, or 100, in some reference period and the values of the index for other periods of time are intended to indicate the average proportionate, or percentage, change in prices from this price reference period. Price indices can also be used to measure differences in price levels between different cities, regions or countries at the same point in time. [CPI Manual 2004, Introduction] For euro countries, consumer prices are calculated based on harmonized prices. For more information see http://epp.eurostat.ec.europa.eu/cache/ITY_OFFPUB/KS-BE-04-001/EN/KS-BE-04-001-EN.PDF.]"	Index		"Source: Central Agency for Public Mobilization and Statistics (CAPMAS) Latest actual data: FY2019/20. Fiscal Year data can be derived from the calendar year basis by summing the quarterly observations as follows: FY(t) = CY(t-1):Q3 + CY(t-1):Q4 + CY(t):Q1 + CY(t):Q2 Harmonized prices: No. Data refer to fiscal years Frequency of source data: Monthly Base year: FY2018/19. On October 10, 2019 the Central Agency for Public Mobilization and Statistics (CAPMAS) released the 10th CPI series with the publication of the September 2019 CPI data, using 2018/2019 as a base period. Primary domestic currency: Egyptian pound Data last updated: 09/2021"	15.858	16.242	16.608	17.175	18.575	20.192	21.058	23.35	26.092	30.308	33.842	37.583	40.85	43.675	48.083	53.367	58.817	72.658	87.808	99.992	105.692	110.45	117.378	2020
EGY	Egypt	"Inflation, average consumer prices"	Annual percentages of average consumer prices are year-on-year changes.	Percent change		"See notes for:  Inflation, average consumer prices (Index)."	2.849	2.417	2.258	3.412	8.151	8.703	4.292	10.882	11.742	16.161	11.658	11.056	8.692	6.916	10.093	10.988	10.212	23.534	20.851	13.875	5.7	4.502	6.273	2020
EGY	Egypt	Unemployment rate	"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]"	Percent of total labor force		Source: National Statistics Office Latest actual data: FY2019/20. Fiscal Year data can be derived from the calendar year basis by summing the quarterly observations as follows: FY(t) = CY(t-1):Q3 + CY(t-1):Q4 + CY(t):Q1 + CY(t):Q2 Primary domestic currency: Egyptian pound Data last updated: 09/2021	8.995	8.808	10.05	11.275	10.526	11.468	10.917	9.205	8.676	9.367	9.21	10.379	12.373	12.992	13.365	12.859	12.705	12.245	10.932	8.612	8.296	9.305	9.172	2020
SLV	El Salvador	"Gross domestic product per capita, current prices"	GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.	National currency	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"2,001.54"	"2,072.30"	"2,124.11"	"2,209.50"	"2,278.43"	"2,428.57"	"2,631.82"	"2,786.16"	"2,933.40"	"2,858.48"	"2,983.23"	"3,266.01"	"3,428.41"	"3,509.53"	"3,589.04"	"3,705.58"	"3,805.99"	"3,910.26"	"4,052.62"	"4,167.44"	"3,798.83"	"4,244.30"	"4,475.18"	2019
SLV	El Salvador	"Gross domestic product per capita, current prices"	GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"2,001.54"	"2,072.30"	"2,124.11"	"2,209.50"	"2,278.43"	"2,428.57"	"2,631.82"	"2,786.16"	"2,933.40"	"2,858.48"	"2,983.23"	"3,266.01"	"3,428.41"	"3,509.53"	"3,589.04"	"3,705.58"	"3,805.99"	"3,910.26"	"4,052.62"	"4,167.44"	"3,798.83"	"4,244.30"	"4,475.18"	2019
SLV	El Salvador	"Inflation, average consumer prices"	"Expressed in averages for the year, not end-of-period data. A consumer price index (CPI) measures changes in the prices of goods and services that households consume. Such changes affect the real purchasing power of consumers' incomes and their welfare. As the prices of different goods and services do not all change at the same rate, a price index can only reflect their average movement. A price index is typically assigned a value of unity, or 100, in some reference period and the values of the index for other periods of time are intended to indicate the average proportionate, or percentage, change in prices from this price reference period. Price indices can also be used to measure differences in price levels between different cities, regions or countries at the same point in time. [CPI Manual 2004, Introduction] For euro countries, consumer prices are calculated based on harmonized prices. For more information see http://epp.eurostat.ec.europa.eu/cache/ITY_OFFPUB/KS-BE-04-001/EN/KS-BE-04-001-EN.PDF.]"	Index		Source: National Statistics Office Latest actual data: 2020 Harmonized prices: No Frequency of source data: Monthly Base year: 2009. Dec.2009=100 Primary domestic currency: US dollar Data last updated: 09/2021	72.16	74.863	76.262	77.879	81.347	85.162	88.598	92.656	99.381	99.915	101.093	106.278	108.117	108.936	110.179	109.373	110.034	111.15	112.359	112.443	112.027	116.02	119.434	2020
SLV	El Salvador	"Inflation, average consumer prices"	Annual percentages of average consumer prices are year-on-year changes.	Percent change		"See notes for:  Inflation, average consumer prices (Index)."	2.274	3.745	1.869	2.121	4.452	4.69	4.035	4.58	7.258	0.537	1.179	5.129	1.73	0.758	1.141	-0.731	0.604	1.014	1.088	0.074	-0.37	3.564	2.943	2020
SLV	El Salvador	Unemployment rate	"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]"	Percent of total labor force		Source: National Statistics Office Latest actual data: 2019 Employment type: Harmonized ILO definition Primary domestic currency: US dollar Data last updated: 09/2021	6.7	6.96	6.23	6.915	6.78	7.2	6.6	6.3	5.9	7.3	7	6.6	6.1	5.9	7	7	7.1	7.049	6.347	6.733	8.742	9.5	8.2	2019
GNQ	Equatorial Guinea	"Gross domestic product per capita, current prices"	GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.	National currency	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"1,339,441.73"	"1,916,309.00"	"2,155,959.47"	"3,145,439.09"	"4,331,593.15"	"5,699,897.56"	"6,657,451.18"	"7,554,126.42"	"10,184,159.01"	"7,805,338.40"	"8,487,287.41"	"10,122,418.01"	"11,005,765.49"	"10,002,824.46"	"9,515,338.79"	"6,632,203.96"	"5,453,476.03"	"5,588,549.72"	"5,536,739.67"	"4,918,380.47"	"4,101,914.62"	"4,643,747.76"	"4,281,813.34"	2015
GNQ	Equatorial Guinea	"Gross domestic product per capita, current prices"	GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"1,885.99"	"2,616.49"	"3,107.85"	"5,424.13"	"8,214.07"	"10,810.45"	"12,743.35"	"15,782.69"	"22,834.44"	"16,596.74"	"17,153.17"	"21,480.00"	"21,556.42"	"20,252.75"	"19,271.29"	"11,217.99"	"9,202.54"	"9,624.53"	"9,968.09"	"8,394.42"	"7,136.81"	"8,625.76"	"8,058.55"	2015
GNQ	Equatorial Guinea	"Inflation, average consumer prices"	"Expressed in averages for the year, not end-of-period data. A consumer price index (CPI) measures changes in the prices of goods and services that households consume. Such changes affect the real purchasing power of consumers' incomes and their welfare. As the prices of different goods and services do not all change at the same rate, a price index can only reflect their average movement. A price index is typically assigned a value of unity, or 100, in some reference period and the values of the index for other periods of time are intended to indicate the average proportionate, or percentage, change in prices from this price reference period. Price indices can also be used to measure differences in price levels between different cities, regions or countries at the same point in time. [CPI Manual 2004, Introduction] For euro countries, consumer prices are calculated based on harmonized prices. For more information see http://epp.eurostat.ec.europa.eu/cache/ITY_OFFPUB/KS-BE-04-001/EN/KS-BE-04-001-EN.PDF.]"	Index		"Source: Ministry of Economy and/or Planning. Ministry of Economy, Planning, and Public Investment Latest actual data: 2019 Harmonized prices: No Frequency of source data: Monthly Base year: 2008 Primary domestic currency: CFA franc Data last updated: 08/2021"	64.363	69.988	75.294	80.808	84.232	88.981	92.954	95.555	100	105.737	111.362	116.706	120.724	124.561	129.913	132.114	133.961	134.96	136.776	138.436	145.078	145.827	150.376	2019
GNQ	Equatorial Guinea	"Inflation, average consumer prices"	Annual percentages of average consumer prices are year-on-year changes.	Percent change		"See notes for:  Inflation, average consumer prices (Index)."	4.836	8.739	7.582	7.324	4.237	5.637	4.465	2.798	4.652	5.737	5.32	4.799	3.442	3.179	4.296	1.695	1.398	0.746	1.346	1.213	4.798	0.516	3.12	2019
GNQ	Equatorial Guinea	Unemployment rate	"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]"	Percent of total labor force																										
ERI	Eritrea	"Gross domestic product per capita, current prices"	GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.	National currency	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"2,295.64"	"2,772.65"	"3,175.46"	"3,593.45"	"4,350.65"	"4,621.09"	"4,938.75"	"5,232.63"	"4,631.54"	"6,389.87"	"7,709.40"	"9,878.47"	"10,667.23"	"9,175.10"	"12,093.05"	"9,259.02"	"9,880.51"	"8,409.70"	"8,756.24"	"8,543.46"	"8,859.34"	"9,436.56"	"10,224.59"	2006
ERI	Eritrea	"Gross domestic product per capita, current prices"	GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	238.508	245.162	227.498	258.933	315.55	300.697	321.219	340.334	301.238	415.601	501.424	642.502	693.804	596.754	786.54	603.193	655.424	557.857	580.845	566.731	587.684	625.974	678.248	2006
ERI	Eritrea	"Inflation, average consumer prices"	"Expressed in averages for the year, not end-of-period data. A consumer price index (CPI) measures changes in the prices of goods and services that households consume. Such changes affect the real purchasing power of consumers' incomes and their welfare. As the prices of different goods and services do not all change at the same rate, a price index can only reflect their average movement. A price index is typically assigned a value of unity, or 100, in some reference period and the values of the index for other periods of time are intended to indicate the average proportionate, or percentage, change in prices from this price reference period. Price indices can also be used to measure differences in price levels between different cities, regions or countries at the same point in time. [CPI Manual 2004, Introduction] For euro countries, consumer prices are calculated based on harmonized prices. For more information see http://epp.eurostat.ec.europa.eu/cache/ITY_OFFPUB/KS-BE-04-001/EN/KS-BE-04-001-EN.PDF.]"	Index		Source: National Statistics Office Latest actual data: 2018 Harmonized prices: No Frequency of source data: Monthly Base year: 2000 Primary domestic currency: Eritrean nakfa Data last updated: 07/2021	100	114.625	133.97	164.34	205.606	231.319	266.156	291.197	355.75	476.177	525.209	556.126	582.561	617.151	679.071	872.494	823.838	714.218	611.366	511.314	536.071	559.156	582.445	2018
ERI	Eritrea	"Inflation, average consumer prices"	Annual percentages of average consumer prices are year-on-year changes.	Percent change		"See notes for:  Inflation, average consumer prices (Index)."	19.947	14.625	16.877	22.669	25.111	12.506	15.06	9.409	22.168	33.852	10.297	5.887	4.753	5.938	10.033	28.483	-5.577	-13.306	-14.401	-16.365	4.842	4.306	4.165	2018
ERI	Eritrea	Unemployment rate	"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]"	Percent of total labor force																										
EST	Estonia	"Gross domestic product per capita, current prices"	GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.	National currency	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"4,417.84"	"5,033.50"	"5,671.21"	"6,379.44"	"7,175.86"	"8,372.81"	"10,074.87"	"12,233.59"	"12,428.54"	"10,589.51"	"11,071.26"	"12,563.48"	"13,545.59"	"14,348.13"	"15,241.81"	"15,684.40"	"16,528.40"	"18,091.64"	"19,529.61"	"20,900.78"	"20,184.25"	"22,690.91"	"24,623.72"	2019
EST	Estonia	"Gross domestic product per capita, current prices"	GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"4,084.94"	"4,516.22"	"5,358.42"	"7,216.27"	"8,923.19"	"10,426.69"	"12,657.06"	"16,764.94"	"18,273.30"	"14,756.39"	"14,696.81"	"17,484.73"	"17,414.24"	"19,056.28"	"20,253.97"	"17,403.81"	"18,290.29"	"20,430.57"	"23,074.04"	"23,400.47"	"23,035.91"	"27,100.74"	"29,735.02"	2019
EST	Estonia	"Inflation, average consumer prices"	"Expressed in averages for the year, not end-of-period data. A consumer price index (CPI) measures changes in the prices of goods and services that households consume. Such changes affect the real purchasing power of consumers' incomes and their welfare. As the prices of different goods and services do not all change at the same rate, a price index can only reflect their average movement. A price index is typically assigned a value of unity, or 100, in some reference period and the values of the index for other periods of time are intended to indicate the average proportionate, or percentage, change in prices from this price reference period. Price indices can also be used to measure differences in price levels between different cities, regions or countries at the same point in time. [CPI Manual 2004, Introduction] For euro countries, consumer prices are calculated based on harmonized prices. For more information see http://epp.eurostat.ec.europa.eu/cache/ITY_OFFPUB/KS-BE-04-001/EN/KS-BE-04-001-EN.PDF.]"	Index		Source: National Statistics Office Latest actual data: 2020 Harmonized prices: Yes Frequency of source data: Monthly Base year: 2015 Primary domestic currency: Euro Data last updated: 09/2021	58.224	61.5	63.707	64.59	66.553	69.293	72.372	77.253	85.447	85.617	87.963	92.432	96.332	99.459	99.933	100	100.8	104.48	108.045	110.496	109.795	113.967	119.552	2020
EST	Estonia	"Inflation, average consumer prices"	Annual percentages of average consumer prices are year-on-year changes.	Percent change		"See notes for:  Inflation, average consumer prices (Index)."	3.932	5.626	3.588	1.387	3.038	4.117	4.444	6.745	10.606	0.199	2.741	5.08	4.219	3.247	0.476	0.068	0.8	3.651	3.412	2.268	-0.634	3.8	4.9	2020
EST	Estonia	Unemployment rate	"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]"	Percent of total labor force		Source: National Statistics Office Latest actual data: 2020 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 09/2021	14.602	13.009	11.227	10.342	10.14	8.031	5.912	4.592	5.455	13.549	16.707	12.325	10.023	8.628	7.351	6.185	6.758	5.763	5.371	4.448	6.806	6.516	6.014	2020
SWZ	Eswatini	"Gross domestic product per capita, current prices"	GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.	National currency	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"12,612.78"	"13,757.98"	"15,498.35"	"16,912.53"	"18,041.03"	"20,196.47"	"22,076.01"	"24,000.28"	"26,525.42"	"29,358.60"	"31,220.70"	"33,387.37"	"37,997.55"	"41,747.72"	"44,820.59"	"48,024.53"	"51,698.49"	"53,683.63"	"55,948.61"	"57,950.77"	"58,159.53"	"60,274.48"	"63,552.64"	2017
